position,title
Q89418092,Deputy Head of the President Administration
Q106400254,Deputy Minister of Agriculture and Food
Q106400307,First Deputy Minister of Agriculture and Food
Q90132622,Deputy Minister of Health
Q106566565,Deputy Chairman of the Council of the Republic of the National Assembly of the Republic of Belarus
Q15623465,Deputy Chairman of the State Control Committee of the Republic of Belarus
Q102109285,Presidential Aide — Inspector for Brest Region
Q106248032,Presidential Aide — Inspector for Homieĺ Region
Q106248034,Presidential Aide — Inspector for Minsk Region
Q65969910,Presidential Aide — Inspector for Viciebsk Region
Q66813315,chairman of the Akciabrski District Executive Committee
Q66812906,chairman of the Asipovičy District Executive Committee
Q66813920,chairman of the Babrujsk District Executive Committee
Q91245978,chairman of the Baranavičy City Executive Committee
Q66813270,chairman of the Baranavičy District Executive Committee
Q66813731,chairman of the Barysaŭ District Executive Committee
Q104033907,chairman of the Bialaručy Rural Executive Committee
Q66812980,chairman of the Bialyničy District Executive Committee
Q66813603,chairman of the Biaroza District Executive Committee
Q66813857,chairman of the Bierazino District Executive Committee
Q66813365,chairman of the Biešankovičy District Executive Committee
Q50653084,chairman of the Brest City Executive Committee
Q66813326,chairman of the Buda-Kašaliova District Executive Committee
Q66813346,chairman of the Chocimsk District Executive Committee
Q66813303,chairman of the Chojniki District Executive Committee
Q66812975,chairman of the Dokšycy District Executive Committee
Q66813517,chairman of the Drybin District Executive Committee
Q66813308,chairman of the Dziatlava District Executive Committee
Q110822622,chairman of the Hajna Rural Executive Committee
Q66812976,chairman of the Haradok District Executive Committee
Q66812919,chairman of the Hlusk District Executive Committee
Q65969953,chairman of the Hlybokaje District Executive Committee
Q66813390,chairman of the Homieĺ District Executive Committee
Q18229563,chairman of the Homieĺ Regional Executive Committee
Q17324840,chairman of the Horki District Executive Committee
Q15708644,chairman of the Hrodna City Executive Committee
Q66812994,chairman of the Hrodna District Executive Committee
Q98555940,chairman of the Hrodna Regional Executive Committee
Q66813275,chairman of the Ivanava District Executive Committee
Q66813299,chairman of the Jeĺsk District Executive Committee
Q66993706,chairman of the Kalinkavičy District Executive Committee
Q21814463,chairman of the Kamieniec District Executive Committee
Q65969912,chairman of the Kapyĺ District Executive Committee
Q102109284,chairman of the Kareličy District Council of Deputies
Q66813246,chairman of the Karma District Executive Committee
Q14900538,chairman of the Kasciukovičy District Executive Committee
Q66812942,chairman of the Kiraŭsk District Executive Committee
Q60707489,chairman of the Klieck District Executive Committee
Q66813437,chairman of the Kobryn District Executive Committee
Q66813490,chairman of the Krasnapollie District Executive Committee
Q66812989,chairman of the Kruhlaje District Executive Committee
Q66105033,chairman of the Krupki District Executive Committee
Q66092435,chairman of the Lahojsk District Council of Deputies
Q66025032,chairman of the Lahojsk District Executive Committee
Q66813358,chairman of the Liachavičy District Executive Committee
Q66813020,chairman of the Lida District Executive Committee
Q66092396,chairman of the Liubań District Executive Committee
Q66812936,chairman of the Mahilioŭ District Executive Committee
Q4369543,chairman of the Mahilioŭ Regional Executive Committee
Q66026613,chairman of the Maladziečna District Executive Committee
Q21814469,chairman of the Malaryta District Executive Committee
Q66813253,chairman of the Mazyr District Executive Committee
Q4462174,chairman of the Minsk City Executive Committee
Q66813340,chairman of the Minsk District Executive Committee
Q62556071,chairman of the Mscislaŭ District Executive Committee
Q60707333,chairman of the Naroŭlia District Executive Committee
Q66813258,chairman of the Navahrudak District Executive Committee
Q106566919,chairman of the Navapolack City Executive Committee
Q66813834,chairman of the Niasviž District Executive Committee
Q14900522,chairman of the Orša District Executive Committee
Q66813355,chairman of the Polack District Executive Committee
Q66813288,chairman of the Pružany District Executive Committee
Q60707531,chairman of the Puchavičy District Executive Committee
Q60707209,chairman of the Rahačoŭ District Executive Committee
Q65969951,chairman of the Rasony District Executive Committee
Q66813812,chairman of the Salihorsk District Executive Committee
Q66813369,chairman of the Sianno District Executive Committee
Q66812938,chairman of the Slaŭharad District Executive Committee
Q66813796,chairman of the Sluck District Executive Committee
Q66776915,chairman of the Smaliavičy District Executive Committee
Q66813395,chairman of the Smarhoń District Executive Committee
Q66813387,chairman of the Staryja Darohi District Executive Committee
Q66813001,chairman of the Svislač District Executive Committee
Q66813385,chairman of the Talačyn District Executive Committee
Q66813905,chairman of the Ušačy District Executive Committee
Q66459505,chairman of the Valožyn District Executive Committee
Q21814485,chairman of the Viciebsk District Executive Committee
Q66813670,chairman of the Vierchniadzvinsk District Executive Committee
Q60707403,chairman of the Viliejka District Executive Committee
Q66812930,chairman of the Čavusy District Executive Committee
Q66662138,chairman of the Čerykaŭ District Executive Committee
Q62533709,chairman of the Škloŭ District Executive Committee
Q21814490,chairman of the Šumilina District Executive Committee
Q66813130,chairman of the Ščučyn District Executive Committee
Q21814448,chairman of the Žabinka District Executive Committee
Q15635169,chairman of the Žlobin District Executive Committee
Q21814508,chairman of the Žytkavičy District Executive Committee
Q105978325,deputy chairman of the Horki District Executive Committee
Q105978412,deputy chairman of the Kareličy District Executive Committee
Q21814473,deputy chairman of the Regional Executive Committee
Q105946697,ambassador to Algeria
Q105943217,ambassador to Angola
Q40338106,ambassador to Canada
Q110880412,ambassador to Croatia
Q112232236,ambassador to Ecuador
Q13414812,ambassador to France
Q112306732,ambassador to Gabon
Q100333037,ambassador to Hungary
Q21814443,ambassador to Italy
Q107565166,ambassador to Kazakhstan
Q107565155,ambassador to Kyrgyzstan
Q107565233,ambassador to Latvia
Q27689669,ambassador to Lithuania
Q105943288,ambassador to Mozambique
Q105943309,ambassador to Namibia
Q112237754,ambassador to Norway
Q112245224,ambassador to Oman
Q105728253,ambassador to the People's Republic of China
Q112237822,ambassador to Peru
Q13414820,ambassador to Poland
Q13414809,ambassador to Portugal
Q106199116,ambassador to the Russian Federation
Q107565183,ambassador to Serbia
Q105943234,ambassador to South Africa
Q21814431,ambassador to South Korea
Q13414810,ambassador to Spain
Q105946710,ambassador to Sudan
Q107565041,ambassador to Yugoslavia
Q105943329,ambassador to Zimbabwe
